,date,time,rainfall
1,1/1/1970,1:00,0
2,1/1/1970,2:00,0
3,1/1/1970,3:00,0
4,1/1/1970,4:00,0
5,1/1/1970,5:00,0
6,1/1/1970,6:00,0
7,1/1/1970,7:00,0
8,1/1/1970,8:00,0
9,1/1/1970,9:00,0
10,1/1/1970,10:00,0
11,1/1/1970,11:00,0
12,1/1/1970,12:00,0
13,1/1/1970,13:00,0
14,1/1/1970,14:00,0
15,1/1/1970,15:00,0
16,1/1/1970,16:00,0
17,1/1/1970,17:00,0
18,1/1/1970,18:00,0
19,1/1/1970,19:00,0
20,1/1/1970,20:00,0
21,1/1/1970,21:00,0
22,1/1/1970,22:00,0
23,1/1/1970,23:00,0
24,1/1/1970,24:00:00,0
25,2/1/1970,1:00,0
26,2/1/1970,2:00,0
27,2/1/1970,3:00,0
28,2/1/1970,4:00,0
29,2/1/1970,5:00,0
30,2/1/1970,6:00,0
31,2/1/1970,7:00,0
32,2/1/1970,8:00,0
33,2/1/1970,9:00,0
34,2/1/1970,10:00,0
35,2/1/1970,11:00,0
36,2/1/1970,12:00,0
37,2/1/1970,13:00,0
38,2/1/1970,14:00,0
39,2/1/1970,15:00,0
40,2/1/1970,16:00,0
41,2/1/1970,17:00,0
42,2/1/1970,18:00,0
43,2/1/1970,19:00,0
44,2/1/1970,20:00,0
45,2/1/1970,21:00,0
46,2/1/1970,22:00,0
47,2/1/1970,23:00,0
48,2/1/1970,24:00:00,0
49,3/1/1970,1:00,0
50,3/1/1970,2:00,0
51,3/1/1970,3:00,0
52,3/1/1970,4:00,0
53,3/1/1970,5:00,0
54,3/1/1970,6:00,0
55,3/1/1970,7:00,0
56,3/1/1970,8:00,0
57,3/1/1970,9:00,0
58,3/1/1970,10:00,0
59,3/1/1970,11:00,0
60,3/1/1970,12:00,0
61,3/1/1970,13:00,0
62,3/1/1970,14:00,0
63,3/1/1970,15:00,0
64,3/1/1970,16:00,0
65,3/1/1970,17:00,0
66,3/1/1970,18:00,0
67,3/1/1970,19:00,0
68,3/1/1970,20:00,0
69,3/1/1970,21:00,0
70,3/1/1970,22:00,0
71,3/1/1970,23:00,0
72,3/1/1970,24:00:00,0
73,4/1/1970,1:00,0
74,4/1/1970,2:00,0
75,4/1/1970,3:00,0
76,4/1/1970,4:00,0
77,4/1/1970,5:00,0
78,4/1/1970,6:00,0
79,4/1/1970,7:00,0
80,4/1/1970,8:00,0
81,4/1/1970,9:00,0
82,4/1/1970,10:00,0
83,4/1/1970,11:00,0
84,4/1/1970,12:00,0
85,4/1/1970,13:00,0
86,4/1/1970,14:00,0
87,4/1/1970,15:00,0
88,4/1/1970,16:00,0
89,4/1/1970,17:00,0
90,4/1/1970,18:00,0
91,4/1/1970,19:00,0
92,4/1/1970,20:00,0
93,4/1/1970,21:00,0
94,4/1/1970,22:00,0
95,4/1/1970,23:00,0
96,4/1/1970,24:00:00,0
97,5/1/1970,1:00,0
98,5/1/1970,2:00,0
99,5/1/1970,3:00,0
100,5/1/1970,4:00,0
101,5/1/1970,5:00,0
102,5/1/1970,6:00,0
103,5/1/1970,7:00,0
104,5/1/1970,8:00,0
105,5/1/1970,9:00,0
106,5/1/1970,10:00,0
107,5/1/1970,11:00,0
108,5/1/1970,12:00,0
109,5/1/1970,13:00,0
110,5/1/1970,14:00,0
111,5/1/1970,15:00,0
112,5/1/1970,16:00,0
113,5/1/1970,17:00,0
114,5/1/1970,18:00,0
115,5/1/1970,19:00,0
116,5/1/1970,20:00,0
117,5/1/1970,21:00,0
118,5/1/1970,22:00,0
119,5/1/1970,23:00,0
120,5/1/1970,24:00:00,0
121,6/1/1970,1:00,0
122,6/1/1970,2:00,0
123,6/1/1970,3:00,0
124,6/1/1970,4:00,0
125,6/1/1970,5:00,0
126,6/1/1970,6:00,0
127,6/1/1970,7:00,0
128,6/1/1970,8:00,0
129,6/1/1970,9:00,0
130,6/1/1970,10:00,0
131,6/1/1970,11:00,0
132,6/1/1970,12:00,0
133,6/1/1970,13:00,0
134,6/1/1970,14:00,0
135,6/1/1970,15:00,0
136,6/1/1970,16:00,0
137,6/1/1970,17:00,0
138,6/1/1970,18:00,0
139,6/1/1970,19:00,0
140,6/1/1970,20:00,0
141,6/1/1970,21:00,0
142,6/1/1970,22:00,0
143,6/1/1970,23:00,0
144,6/1/1970,24:00:00,0
145,7/1/1970,1:00,0
146,7/1/1970,2:00,0
147,7/1/1970,3:00,0
148,7/1/1970,4:00,0
149,7/1/1970,5:00,0
150,7/1/1970,6:00,0
151,7/1/1970,7:00,0
152,7/1/1970,8:00,0
153,7/1/1970,9:00,0
154,7/1/1970,10:00,0
155,7/1/1970,11:00,0
156,7/1/1970,12:00,0
157,7/1/1970,13:00,0
158,7/1/1970,14:00,0
159,7/1/1970,15:00,0
160,7/1/1970,16:00,0
161,7/1/1970,17:00,0
162,7/1/1970,18:00,0
163,7/1/1970,19:00,0
164,7/1/1970,20:00,0
165,7/1/1970,21:00,0
166,7/1/1970,22:00,0
167,7/1/1970,23:00,0
168,7/1/1970,24:00:00,0
169,8/1/1970,1:00,0
170,8/1/1970,2:00,0
171,8/1/1970,3:00,0
172,8/1/1970,4:00,0
173,8/1/1970,5:00,0
174,8/1/1970,6:00,0
175,8/1/1970,7:00,0
176,8/1/1970,8:00,0
177,8/1/1970,9:00,0
178,8/1/1970,10:00,0
179,8/1/1970,11:00,0
180,8/1/1970,12:00,0
181,8/1/1970,13:00,0
182,8/1/1970,14:00,0
183,8/1/1970,15:00,0
184,8/1/1970,16:00,0
185,8/1/1970,17:00,0
186,8/1/1970,18:00,0
187,8/1/1970,19:00,0
188,8/1/1970,20:00,0
189,8/1/1970,21:00,0
190,8/1/1970,22:00,0
191,8/1/1970,23:00,0
192,8/1/1970,24:00:00,0
193,9/1/1970,1:00,0
194,9/1/1970,2:00,0
195,9/1/1970,3:00,0
196,9/1/1970,4:00,0
197,9/1/1970,5:00,0
198,9/1/1970,6:00,0
199,9/1/1970,7:00,0
200,9/1/1970,8:00,0
201,9/1/1970,9:00,0
202,9/1/1970,10:00,0
203,9/1/1970,11:00,0
204,9/1/1970,12:00,0
205,9/1/1970,13:00,0
206,9/1/1970,14:00,0
207,9/1/1970,15:00,0
208,9/1/1970,16:00,0
209,9/1/1970,17:00,0
210,9/1/1970,18:00,0
211,9/1/1970,19:00,0
212,9/1/1970,20:00,0
213,9/1/1970,21:00,0
214,9/1/1970,22:00,0
215,9/1/1970,23:00,0
216,9/1/1970,24:00:00,0
217,10/1/1970,1:00,0
218,10/1/1970,2:00,0
219,10/1/1970,3:00,0
220,10/1/1970,4:00,0
221,10/1/1970,5:00,0
222,10/1/1970,6:00,0
223,10/1/1970,7:00,0
224,10/1/1970,8:00,0
225,10/1/1970,9:00,0
226,10/1/1970,10:00,0
227,10/1/1970,11:00,0
228,10/1/1970,12:00,0
229,10/1/1970,13:00,0
230,10/1/1970,14:00,0
231,10/1/1970,15:00,0
232,10/1/1970,16:00,0
233,10/1/1970,17:00,0
234,10/1/1970,18:00,0
235,10/1/1970,19:00,0
236,10/1/1970,20:00,0
237,10/1/1970,21:00,0
238,10/1/1970,22:00,0
239,10/1/1970,23:00,0
240,10/1/1970,24:00:00,0
241,11/1/1970,1:00,0
242,11/1/1970,2:00,0
243,11/1/1970,3:00,0
